calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
uncalibrated,fixed,5,307,0.749185667752443,0.6830355476536888,0.893450028232637,0.11296551970649191,0.0739714141690889,0.4066935507914118,-0.06615012009875412
uncalibrated,fixed,6,302,0.7450331125827815,0.6814249780657156,0.8894949494949494,0.11600215180363235,0.09701962157431951,0.315313619630729,-0.06360813451706589
uncalibrated,fixed,7,299,0.7424749163879598,0.6870308925123007,0.8869778869778869,0.11606359890621366,0.08370762457509381,0.4001898870390038,-0.05544402387565913
uncalibrated,fixed,8,293,0.7372013651877133,0.6870260946690089,0.9006132756132756,0.11420338053484119,0.0842095432247599,0.13923864525915008,-0.05017527051870447
uncalibrated,fixed,9,286,0.7307692307692307,0.6818243561210313,0.9064189399117629,0.11203709037539188,0.06661434599671376,0.9063176253561986,-0.048944874648199514
uncalibrated,fixed,10,272,0.7169117647058824,0.672643149293424,0.8958374958374958,0.11937562118308964,0.08099401116035114,0.23456750287455774,-0.04426861541245833
uncalibrated,fixed,11,259,0.7027027027027027,0.6650224044166063,0.9035250463821892,0.11539007361035584,0.07465316033666952,0.9027660083094269,-0.03768029828609648
uncalibrated,fixed,12,251,0.6932270916334662,0.6652548432747537,0.8982683982683982,0.1212478724524497,0.05740966350020338,0.1572735248004007,-0.027972248358712433
platt,variable,1,1888,0.3045550847457627,0.28710283732963804,0.9373714361402695,0.07347545697181722,0.03340154230360655,0.22721939470635838,-0.017452247416124694
platt,variable,2,1883,0.30377057886351566,0.28552196690162324,0.935342689347266,0.07321191496904889,0.027758967962518144,0.11725422944562358,-0.01824861196189243
platt,variable,3,1229,0.4564686737184703,0.43866951867137133,0.9069774888725224,0.10652295678686531,0.0376840994633114,0.14927431197676577,-0.017799155047098968
platt,variable,4,1119,0.4691689008042895,0.4661500364345128,0.9102613435946769,0.1069937070522025,0.04605094433017252,0.19321253592867205,-0.003018864369776872
platt,variable,5,903,0.5260243632336655,0.5206615310960556,0.911583866207575,0.11154755314817984,0.04261404845217009,0.24451138037642095,-0.005362832137609974
platt,variable,6,739,0.5561569688768606,0.5514693256540457,0.9080136193697703,0.11409146260301871,0.044496380884493494,0.179994485215337,-0.0046876432228149575
platt,variable,7,596,0.6241610738255033,0.6088642031393733,0.8989535330261137,0.11772628183664112,0.062365638662221404,0.25732349525794923,-0.01529687068613
platt,variable,8,479,0.6617954070981211,0.6465937987630805,0.9123924134439382,0.1141640606464531,0.06309091598555897,0.2306129491676822,-0.01520160833504048
platt,variable,9,415,0.6626506024096386,0.6517385135313756,0.9093506493506494,0.11505121764128601,0.05457288125895767,0.17130423579149393,-0.01091208887826288
platt,variable,10,343,0.6559766763848397,0.6513722102752046,0.90015065913371,0.12199862721963152,0.06561723092141086,0.20777343567478368,-0.004604466109635065
platt,variable,11,285,0.6771929824561403,0.6629370707992938,0.9106217616580311,0.11124633766371958,0.0439032902418946,0.19197349357992294,-0.014255911656846382
platt,variable,12,251,0.6932270916334662,0.676828831019899,0.8982683982683982,0.11940633357741297,0.05612432764344755,0.2886020789542386,-0.016398260613567313
platt,fixed,1,309,0.7508090614886731,0.6525097243484217,0.9123936408419167,0.1185866625510762,0.10358472373788177,0.23132183566546752,-0.09829933714025135
platt,fixed,2,308,0.75,0.6495245705155692,0.9099342216225333,0.12029890011126018,0.10595571972703827,0.2902915151893203,-0.10047542948443075
platt,fixed,3,308,0.75,0.6712465203222834,0.8999269129139259,0.11742781959761778,0.08830948940997552,0.2882363942046486,-0.0787534796777167
platt,fixed,4,308,0.75,0.6834831919900164,0.9005453421037837,0.11503529499290202,0.08873964241815202,0.23753906928285068,-0.06651680800998357
platt,fixed,5,307,0.749185667752443,0.69419028747274,0.893450028232637,0.11362778935351618,0.07072887681625446,0.2919902972796763,-0.05499538027970306
platt,fixed,6,302,0.7450331125827815,0.6931379331264959,0.8894949494949494,0.11680491766426106,0.07613838379147447,0.4241418974590762,-0.05189517945628555
platt,fixed,7,299,0.7424749163879598,0.6990500744558895,0.8869778869778869,0.1165932186144812,0.07433693319973975,0.32887349925721066,-0.0434248419320703
platt,fixed,8,293,0.7372013651877133,0.6999614727769867,0.9006132756132756,0.11406261691038193,0.06400273984206564,0.20326881857554616,-0.03723989241072656
platt,fixed,9,286,0.7307692307692307,0.6941262084366444,0.9064189399117629,0.11064584112261565,0.055706173192218746,0.17040506526857555,-0.036643022332586296
platt,fixed,10,272,0.7169117647058824,0.6841678200157607,0.8958374958374958,0.11874742850819671,0.0806398691807349,0.2568050322436187,-0.032743944690121644
platt,fixed,11,259,0.7027027027027027,0.6757006804884109,0.9035250463821892,0.11313294780188983,0.05103996940961635,0.19197349357992294,-0.02700202221429176
platt,fixed,12,251,0.6932270916334662,0.676828831019899,0.8982683982683982,0.11940633357741297,0.05612432764344755,0.2886020789542386,-0.016398260613567313
isotonic,variable,1,1888,0.3045550847457627,0.2877465734719953,0.9365084936587305,0.07374438195228757,0.03058370027017518,0.22172619047619063,-0.01680851127376747
isotonic,variable,2,1883,0.30377057886351566,0.28596028127446427,0.934349212953332,0.07342308172712454,0.02909856245995794,0.33248812005527295,-0.017810297589051373
isotonic,variable,3,1229,0.4564686737184703,0.4361738849633463,0.9055351863118682,0.10653263679374866,0.03852877102669723,0.41821309638932636,-0.02029478875512408
isotonic,variable,4,1119,0.4691689008042895,0.46439083307260226,0.909304152637486,0.10697434197804145,0.04282309519741445,0.2479728247972668,-0.004778067731687233
isotonic,variable,5,903,0.5260243632336655,0.519545881110551,0.9096581406787998,0.11290995006604376,0.044763270710954185,0.3658008658008659,-0.006478482123114511
isotonic,variable,6,739,0.5561569688768606,0.5505584265157205,0.9075722509049908,0.1153147741768371,0.053227942396058964,0.14892161273993687,-0.00559854236114001
isotonic,variable,7,596,0.6241610738255033,0.6087240421952254,0.8980354742703534,0.11795780322942573,0.05822473406987065,0.24156545209176788,-0.015437031630277934
isotonic,variable,8,479,0.6617954070981211,0.647655842566615,0.9141644273084862,0.1150119902120037,0.06074345851167725,0.13432458919286883,-0.014139564531506062
isotonic,variable,9,415,0.6626506024096386,0.6491895219981728,0.909974025974026,0.11493548738094421,0.05453951818093216,0.24572825491861877,-0.013461080411465744
isotonic,variable,10,343,0.6559766763848397,0.6517842615391606,0.89954802259887,0.12568721814847972,0.05955970160549947,0.2151360544217688,-0.004192414845678935
isotonic,variable,11,285,0.6771929824561403,0.6615685220030849,0.9087913944582113,0.11327839008770242,0.03367205502578491,0.14087301587301582,-0.015624460453055648
isotonic,variable,12,251,0.6932270916334662,0.6766529330920907,0.8966263621436035,0.12338239940997087,0.049653977165942456,0.17791108368265185,-0.016574158541375374
isotonic,fixed,1,309,0.7508090614886731,0.6545793796979099,0.910602328705777,0.1196085690198903,0.0973854839174392,0.6842105263157895,-0.09622968179076329
isotonic,fixed,2,308,0.75,0.6490879000880199,0.910130994546579,0.12082777147158381,0.11100618054744398,0.3886221044653513,-0.10091209991198032
isotonic,fixed,3,308,0.75,0.6690971844727215,0.902541181761961,0.11769424846235178,0.08892180351258644,0.41821309638932636,-0.08090281552727867
isotonic,fixed,4,308,0.75,0.6808590979087139,0.9003766795974588,0.11620511530547788,0.0876966223322526,0.6666666666666666,-0.0691409020912863
isotonic,fixed,5,307,0.749185667752443,0.6931267433949463,0.8891869000564653,0.11653482213638859,0.06881269483062474,0.30357142857142855,-0.056058924357496896
isotonic,fixed,6,302,0.7450331125827815,0.6914954860480474,0.8891774891774892,0.11916501870794817,0.086508699659997,0.35459183673469385,-0.053537626534734054
isotonic,fixed,7,299,0.7424749163879598,0.6998531128738349,0.8874166374166375,0.11850971128541422,0.0755761352457628,0.3157894736842105,-0.04262180351412506
isotonic,fixed,8,293,0.7372013651877133,0.7034044874636775,0.9021464646464646,0.11562943735223977,0.06943563051957762,0.18154761904761918,-0.03379687772403592
isotonic,fixed,9,286,0.7307692307692307,0.6917402718674037,0.9073199527744983,0.11088376108016193,0.05817633864522978,0.1997470107339836,-0.03902895890182712
isotonic,fixed,10,272,0.7169117647058824,0.6845427691313448,0.8956043956043956,0.1224986595106067,0.06713713103720437,0.17717287610179344,-0.032368995574537734
