k,bin,n,mean_pred,observed
9,"(0.3, 0.4]",30,0.3437416346206634,0.2
9,"(0.4, 0.5]",18,0.45643348024049996,0.4444444444444444
9,"(0.5, 0.6]",18,0.5616478360806071,0.6111111111111112
9,"(0.6, 0.7]",19,0.6559048002070934,0.5789473684210527
9,"(0.7, 0.8]",58,0.7580325193245081,0.7413793103448276
9,"(0.8, 0.9]",76,0.8504927831949097,0.9473684210526315
9,"(0.9, 1.0]",107,0.9375206866858117,1.0
10,"(-0.001, 0.1]",7,0.05264569609458709,0.0
10,"(0.1, 0.2]",28,0.14965152579340454,0.21428571428571427
10,"(0.2, 0.3]",37,0.24765388720455483,0.1891891891891892
10,"(0.3, 0.4]",23,0.34094419338238063,0.2608695652173913
10,"(0.4, 0.5]",15,0.437067054472685,0.26666666666666666
10,"(0.5, 0.6]",16,0.5549885339697975,0.6875
10,"(0.6, 0.7]",25,0.6525932197604741,0.52
10,"(0.7, 0.8]",45,0.7650837566649051,0.8222222222222222
10,"(0.8, 0.9]",63,0.8553867647409037,0.9047619047619048
10,"(0.9, 1.0]",84,0.9370249887716707,1.0
11,"(-0.001, 0.1]",3,0.07083317347880023,0.3333333333333333
11,"(0.1, 0.2]",21,0.15504741386140908,0.047619047619047616
11,"(0.2, 0.3]",33,0.24114885295165728,0.24242424242424243
11,"(0.3, 0.4]",16,0.3513764205125769,0.25
11,"(0.4, 0.5]",13,0.4287756468927228,0.3076923076923077
11,"(0.5, 0.6]",16,0.5663813028053458,0.5625
11,"(0.6, 0.7]",22,0.6479265970513866,0.6363636363636364
11,"(0.7, 0.8]",37,0.7543261444193365,0.8648648648648649
11,"(0.8, 0.9]",55,0.8647712153547826,0.9272727272727272
11,"(0.9, 1.0]",69,0.9386621468566895,1.0
12,"(0.1, 0.2]",16,0.16330624359332171,0.125
12,"(0.2, 0.3]",30,0.24614218193608015,0.23333333333333334
12,"(0.3, 0.4]",15,0.34635078540137443,0.3333333333333333
12,"(0.4, 0.5]",9,0.45289943251856446,0.3333333333333333
12,"(0.5, 0.6]",11,0.5699992024723266,0.7272727272727273
12,"(0.6, 0.7]",27,0.6454027248516248,0.5925925925925926
12,"(0.7, 0.8]",35,0.749918761286882,0.8285714285714286
12,"(0.8, 0.9]",48,0.8625232058043876,0.9166666666666666
12,"(0.9, 1.0]",60,0.9394384718476501,1.0
