k,bin,n,mean_pred,observed
10,"(0.3, 0.4]",15,0.33948916,0.6
10,"(0.4, 0.5]",10,0.45427313,0.1
10,"(0.5, 0.6]",13,0.5607263,0.7692307692307693
10,"(0.6, 0.7]",21,0.6635772,0.3333333333333333
10,"(0.7, 0.8]",37,0.74883246,0.8918918918918919
10,"(0.8, 0.9]",51,0.83862597,0.9215686274509803
10,"(0.9, 1.0]",101,0.9513962,1.0
11,"(-0.001, 0.1]",1,0.08986493,0.0
11,"(0.1, 0.2]",40,0.14490828,0.225
11,"(0.2, 0.3]",31,0.24108662,0.0967741935483871
11,"(0.3, 0.4]",13,0.34541753,0.5384615384615384
11,"(0.4, 0.5]",10,0.45463938,0.3
11,"(0.5, 0.6]",13,0.54690516,0.6153846153846154
11,"(0.6, 0.7]",24,0.65490854,0.625
11,"(0.7, 0.8]",31,0.75343955,0.9354838709677419
11,"(0.8, 0.9]",37,0.84296286,0.918918918918919
11,"(0.9, 1.0]",85,0.95273435,1.0
12,"(0.1, 0.2]",34,0.15236211,0.23529411764705882
12,"(0.2, 0.3]",24,0.24228321,0.08333333333333333
12,"(0.3, 0.4]",10,0.3448441,0.7
12,"(0.4, 0.5]",13,0.44783795,0.46153846153846156
12,"(0.5, 0.6]",10,0.55515987,0.6
12,"(0.6, 0.7]",28,0.64974946,0.75
12,"(0.7, 0.8]",22,0.7481371,0.8181818181818182
12,"(0.8, 0.9]",33,0.84701955,0.8787878787878788
12,"(0.9, 1.0]",77,0.95187426,1.0
