cohort,k,n_k,base_rate_k,auc,auc_lo,auc_hi,ap,brier,ece,bias,precision,recall,f1
variable,1,5708,0.382270497547302,0.8695388011955707,0.8603421064789123,0.8785564204701181,0.8271574173220216,0.1420774602906032,0.03989765547670668,-0.032522274838010276,0.858955223880597,0.5274977085242897,0.6536059057353776
variable,2,4088,0.49608610567514677,0.8555277091591507,0.8441965412624184,0.8668712844536742,0.8733331274556826,0.1558361572295631,0.04556827414976778,-0.03415007073338345,0.8642149929278642,0.6025641025641025,0.7100522951772226
variable,3,3063,0.5821090434214822,0.8729780829360629,0.8607291707995658,0.8847282267725874,0.9184888401473426,0.14511936420715169,0.04092303410441856,-0.032163848174773,0.8870853916725476,0.704991587212563,0.785625
variable,4,2313,0.6428880242109815,0.891777161550223,0.8794141813941329,0.9040358011818548,0.9449703932481455,0.13047158931907923,0.04106346372234319,-0.027649087217240607,0.8927738927738927,0.7726967047747142,0.8284066330209084
variable,5,1807,0.6884338682899834,0.9058900127360889,0.892688055287309,0.9185636879108554,0.9601404434215219,0.11692360299693755,0.030297439220692814,-0.017073558874358182,0.9011373578302713,0.8279742765273312,0.8630079597821533
variable,6,1353,0.7339246119733924,0.917503077095222,0.9026105966021425,0.9308270932097141,0.971726728357939,0.10237545039101513,0.030661291749810634,-0.0033850163704572875,0.8977035490605428,0.8660624370594159,0.8815991799077396
variable,7,1011,0.771513353115727,0.9268731268731268,0.9113255487564997,0.9416486149971433,0.97905066290958,0.09234246715414049,0.030856801014537253,0.0026107246551799286,0.905852417302799,0.9128205128205128,0.909323116219668
variable,8,762,0.8136482939632546,0.9361880963198546,0.9181046439934024,0.9520170743982435,0.9857089310400309,0.07947679415794323,0.01964175788651455,0.004717335549826037,0.9170653907496013,0.9274193548387096,0.9222133119486768
fixed,1,762,0.8136482939632546,0.7436960472512493,0.7055530056176639,0.7822945652558163,0.9328023171738293,0.2563706546580504,0.31002364936834714,-0.31002364936834714,0.9628378378378378,0.4596774193548387,0.6222707423580786
fixed,2,762,0.8136482939632546,0.7734552476147206,0.7342686742493538,0.8084093729089386,0.9410479567476456,0.22335619704436901,0.2628020955606552,-0.2628020955606552,0.9481268011527377,0.5306451612903226,0.6804550155118925
fixed,3,762,0.8136482939632546,0.8232451158564289,0.7897597466011157,0.8544518809292446,0.9541291443395743,0.18821922609862757,0.21527856071919615,-0.21527856071919615,0.948019801980198,0.617741935483871,0.748046875
fixed,4,762,0.8136482939632546,0.8397092230804181,0.8091479561639651,0.8681937499685758,0.9599016453709466,0.16094877956128661,0.16928670632657827,-0.16928670632657827,0.9370932754880694,0.6967741935483871,0.7992599444958371
fixed,5,762,0.8136482939632546,0.8591776465243071,0.8297914779448688,0.8864040238020399,0.9655690986385358,0.13639003053511717,0.12115196875367418,-0.12115196875367418,0.9375,0.7741935483870968,0.8480565371024735
fixed,6,762,0.8136482939632546,0.8847114947751022,0.8591607965621123,0.9084108486622073,0.9728291398985995,0.11214618384058547,0.07244170984629729,-0.07133023691634965,0.9276672694394213,0.8274193548387097,0.8746803069053708
fixed,7,762,0.8136482939632546,0.9157769195820082,0.8938625165727568,0.934587746294098,0.9806686614251047,0.09156352052640697,0.035566594231668434,-0.0277790641094365,0.9209225700164745,0.9016129032258065,0.9111654441727791
fixed,8,762,0.8136482939632546,0.9361880963198546,0.9181046439934024,0.9520170743982435,0.9857089310400309,0.07947679415794323,0.01964175788651455,0.004717335549826037,0.9170653907496013,0.9274193548387096,0.9222133119486768
