k,feature,mean_abs_shap
1,cat__static__u_symptom_Symptom 120,0.0026462336536496878
1,cat__static__u_symptom_Symptom 127,0.0015749488957226276
1,cat__static__u_symptom_Symptom 13,0.0
1,cat__static__u_symptom_Symptom 134,0.0005542964208871126
1,cat__static__u_symptom_Symptom 208,0.0016041963826864958
1,cat__static__u_symptom_Symptom 232,0.0010604002745822072
1,cat__static__u_symptom_Symptom 296,0.0002735225425567478
1,cat__static__u_symptom_Symptom 382,0.00012131105177104473
1,cat__static__u_symptom_Symptom 387,0.00020581865101121366
1,cat__static__u_symptom_Symptom 4,0.00023120128025766462
1,cat__static__u_symptom_Symptom 444,0.0
1,cat__static__u_symptom_Symptom 454,0.0008815770852379501
1,cat__static__u_symptom_Symptom 455,8.32372170407325e-05
1,cat__static__u_symptom_Symptom 458,0.00990149937570095
1,cat__static__u_symptom_Symptom 462,3.462484528427012e-05
1,cat__static__u_symptom_Symptom 470,0.00031791231594979763
1,cat__static__u_symptom_Symptom 471,3.624890450737439e-05
1,cat__static__u_symptom_Symptom 473,0.00067062524612993
1,cat__static__u_symptom_Symptom 491,0.006995724979788065
1,cat__static__u_symptom_Symptom 494,4.4035594328306615e-05
1,cat__static__u_symptom_Symptom 5,0.0
1,cat__static__u_symptom_Symptom 506,0.0
1,cat__static__u_symptom_Symptom 509,0.00013711766223423183
1,cat__static__u_symptom_Symptom 517,0.01528327725827694
1,cat__static__u_symptom_Symptom 532,0.0005267448141239583
1,cat__static__u_symptom_Symptom 534,0.11767829209566116
1,cat__static__u_symptom_Symptom 54,0.0005019294330850244
1,cat__static__u_symptom_Symptom 571,0.0009280841331928968
1,cat__static__u_symptom_Symptom 573,0.001231823000125587
1,cat__static__u_symptom_Symptom 580,0.0005218947189860046
1,cat__static__u_symptom_Symptom 592,0.00011428126890677959
1,cat__static__u_symptom_Symptom 6,0.00039153374382294714
1,cat__static__u_symptom_Symptom 607,6.016581392032094e-05
1,cat__static__u_symptom_Symptom 65,0.0
1,cat__static__u_symptom_Symptom 70,0.00018053136591333896
1,cat__static__u_symptom_Symptom 8,7.658317917957902e-05
