calibrator,cohort,k,n_k,base_rate_k,mean_pred,auc,brier,ece,mce,bias
platt,fixed,6,478,0.7301255230125523,0.6559784691272081,0.8030252548810555,0.17779292297803173,0.11095699415502085,0.42497413282866453,-0.07414705388534411
platt,fixed,7,478,0.7301255230125523,0.7157614711910655,0.8507585349059328,0.14958813368469218,0.07412432496886903,0.31666475855206355,-0.014364051821486784
platt,fixed,8,478,0.7301255230125523,0.7561956108077929,0.8873858865862597,0.1323006080794518,0.08474765450890537,0.29096623797171606,0.026070087795240494
isotonic,variable,1,5707,0.23199579463816367,0.2657918523012669,0.7464641263657374,0.16247512811819834,0.0769675845209584,0.294936266927326,0.03379605766310324
isotonic,variable,2,3587,0.35098968497351546,0.3833759908466901,0.7120251372250381,0.2064921186644065,0.10344347453825004,0.3083853083853084,0.032386305873174676
isotonic,variable,3,2555,0.43796477495107633,0.4877810756690645,0.7612039823658708,0.20266546246453296,0.11102908142538899,0.2948717948717948,0.04981630071798819
isotonic,variable,4,1829,0.5079278294149808,0.5570471692124385,0.791002272455448,0.19476037570453755,0.10747169539456791,0.2457295024958098,0.04911933979745765
isotonic,variable,5,1346,0.5638930163447251,0.6287550661249847,0.8259433083520188,0.18120579095782696,0.1129553554942923,0.23931623931623935,0.06486204978025963
isotonic,variable,6,934,0.6231263383297645,0.6743472249894972,0.8426492697594502,0.1702519886695863,0.1037197776217312,0.25695062716339856,0.05122088665973281
isotonic,variable,7,682,0.6730205278592375,0.7217680467998282,0.8658469865275458,0.15523724643525763,0.1101761428689007,0.26890465295501786,0.048747518940590824
isotonic,variable,8,478,0.7301255230125523,0.7573156162042358,0.8824548544012794,0.13774645814531572,0.09298650884122765,0.2889263810796194,0.027190093191683626
isotonic,fixed,1,478,0.7301255230125523,0.3772202225713116,0.6201550387596899,0.35070918440206017,0.37867589192475487,0.5575395690312739,-0.35290530044124074
isotonic,fixed,2,478,0.7301255230125523,0.43940506761153386,0.6300171031296506,0.3159998195043072,0.32610845101158686,0.5090345478231066,-0.2907204554010185
isotonic,fixed,3,478,0.7301255230125523,0.5120044550027851,0.6946869238799671,0.2612707410048437,0.24509420719000674,0.46375681239805333,-0.21812106800976722
isotonic,fixed,4,478,0.7301255230125523,0.5562282617026212,0.7274272006397015,0.23411269107617552,0.19989517784591815,0.46541762145493487,-0.17389726130993105
isotonic,fixed,5,478,0.7301255230125523,0.6165806711969927,0.7710512871770951,0.19959455309473392,0.13920468319448978,0.43660261296689495,-0.1135448518155595
