cost_ratio,effectiveness,tau_star,break_even_p,test_mean_cost,best_trivial_cost,saving_vs_trivial,alarm_rate,mean_alarm_k,recall,precision
0.02,0.2,0.28,0.09999999999999999,1.989451550727177,2.0559663571053095,0.032352088908585874,0.4781846854739793,1.5950897764748992,0.918429003021148,0.44558446317332356
0.02,0.5,0.22,0.04,1.3306465743823372,1.3599789731908183,0.021568273765042556,0.5554582092167514,1.4271293375394323,0.9486404833836858,0.39621451104100947
0.02,0.8,0.1,0.024999999999999998,0.6492377781671631,0.6639915892763273,0.0222198764975986,0.7439985982127212,1.1566179934055583,0.9803625377643505,0.30569948186528495
0.02,1.0,0.1,0.02,0.19435780620290868,0.2,0.028210968985456608,0.7439985982127212,1.1566179934055583,0.9803625377643505,0.30569948186528495
0.05,0.2,0.5,0.25,2.0858594708253024,2.3199579463816367,0.10090634441087609,0.2957771158226739,2.688388625592417,0.823262839879154,0.6457345971563981
0.05,0.5,0.28,0.1,1.493691957245488,1.6599789731908183,0.10017417005330653,0.4781846854739793,1.5950897764748992,0.918429003021148,0.44558446317332356
0.05,0.8,0.26,0.0625,0.8542141230068337,0.9639915892763272,0.1138780332636552,0.5056947608200456,1.5401940401940402,0.9259818731117825,0.4248094248094248
0.05,1.0,0.22,0.05,0.39688102330471353,0.5,0.20623795339057294,0.5554582092167514,1.4271293375394323,0.9486404833836858,0.39621451104100947
0.1,0.2,0.74,0.5,2.1799544419134396,2.3199579463816367,0.060347432024169256,0.19887857017697563,3.462555066079295,0.7303625377643505,0.8519823788546256
0.1,0.5,0.5,0.2,1.6607674785351323,2.1599789731908183,0.23111868256672352,0.2957771158226739,2.688388625592417,0.823262839879154,0.6457345971563981
0.1,0.8,0.34,0.125,1.083581566497284,1.4639915892763273,0.2598444045481747,0.4247415454704749,1.8593234323432344,0.8950151057401813,0.48886138613861385
0.1,1.0,0.28,0.1,0.6674259681093394,1.0,0.3325740318906606,0.4781846854739793,1.5950897764748992,0.918429003021148,0.44558446317332356
0.2,0.2,0.98,1.0,2.3231119677588925,2.3199579463816367,-0.0013595166163140604,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
0.2,0.5,0.64,0.4,1.8918871561240582,2.3199579463816367,0.18451661631419936,0.231470124408621,3.181680545041635,0.7681268882175226,0.7698713096139288
0.2,0.8,0.5,0.25,1.3835640441562993,2.3199579463816367,0.4036253776435046,0.2957771158226739,2.688388625592417,0.823262839879154,0.6457345971563981
0.2,1.0,0.5,0.2,1.001577010688628,2.0,0.49921149465568604,0.2957771158226739,2.688388625592417,0.823262839879154,0.6457345971563981
0.5,0.2,0.98,2.5,2.7068512353250394,2.3199579463816367,-0.16676737160120836,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
0.5,0.5,0.98,1.0,2.3278429998247767,2.3199579463816367,-0.003398791540785595,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
0.5,0.8,0.74,0.625,1.9588224986858245,2.3199579463816367,0.1556646525679758,0.19887857017697563,3.462555066079295,0.7303625377643505,0.8519823788546256
0.5,1.0,0.74,0.5,1.6199404240406519,2.3199579463816367,0.30173716012084595,0.19887857017697563,3.462555066079295,0.7303625377643505,0.8519823788546256
1.0,0.2,0.98,5.0,3.3464166812686176,2.3199579463816367,-0.4424471299093655,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
1.0,0.5,0.98,2.0,2.9674084457683545,2.3199579463816367,-0.27907854984894254,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
1.0,0.8,0.98,1.25,2.588400210268092,2.3199579463816367,-0.11570996978851955,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
1.0,1.0,0.98,1.0,2.3357280532679168,2.3199579463816367,-0.006797583081570968,0.1279130891887156,4.191780821917808,0.5445619335347432,0.9876712328767123
