epsilon,k,n,coverage,mean_set_size,singleton_rate,abstain_rate,empty_rate,nominal,gap,bin
0.2,1,5707,0.7797441738216225,1.0008761170492377,0.9991238829507623,0.0008761170492377782,0.0,0.8,-0.020255826178377512,1
0.2,2,3587,0.7167549484248675,1.0323390019514915,0.9676609980485085,0.032339001951491496,0.0,0.8,-0.08324505157513251,2
0.2,3,2555,0.7146771037181996,1.012133072407045,0.987866927592955,0.01213307240704501,0.0,0.8,-0.08532289628180045,3
0.2,4,1829,0.6697648988518315,0.9103335155822854,0.9103335155822854,0.0,0.0896664844177146,0.8,-0.1302351011481685,4
0.2,5,1346,0.6731054977711739,0.8670133729569094,0.8670133729569094,0.0,0.13298662704309064,0.8,-0.12689450222882614,5
0.2,6,934,0.6017130620985011,0.7205567451820128,0.7205567451820128,0.0,0.27944325481798715,0.8,-0.19828693790149898,6
0.2,7,682,0.6407624633431085,0.750733137829912,0.750733137829912,0.0,0.24926686217008798,0.8,-0.15923753665689155,6
0.2,8,478,0.6841004184100419,0.7824267782426778,0.7824267782426778,0.0,0.2175732217573222,0.8,-0.11589958158995817,6
0.1,1,5707,0.8657788680567724,1.2011564745049939,0.7988435254950061,0.20115647450499385,0.0,0.9,-0.03422113194322762,1
0.1,2,3587,0.8413716197379426,1.3111235015333147,0.6888764984666853,0.31112350153331475,0.0,0.9,-0.05862838026205741,2
0.1,3,2555,0.8551859099804305,1.3330724070450097,0.6669275929549903,0.3330724070450098,0.0,0.9,-0.044814090019569486,3
0.1,4,1829,0.8381629305631493,1.2602515035538546,0.7397484964461455,0.26025150355385457,0.0,0.9,-0.061837069436850745,4
0.1,5,1346,0.8380386329866271,1.2028231797919762,0.7971768202080238,0.20282317979197623,0.0,0.9,-0.06196136701337296,5
0.1,6,934,0.8008565310492506,1.0877944325481799,0.9122055674518201,0.08779443254817987,0.0,0.9,-0.09914346895074944,6
0.1,7,682,0.8269794721407625,1.0894428152492668,0.9105571847507331,0.08944281524926687,0.0,0.9,-0.07302052785923752,6
0.1,8,478,0.8493723849372385,1.0753138075313808,0.9246861924686193,0.07531380753138076,0.0,0.9,-0.05062761506276148,6
0.05,1,5707,0.9134396355353075,1.3511477133345016,0.6488522866654985,0.3511477133345015,0.0,0.95,-0.03656036446469246,1
0.05,2,3587,0.9018678561471982,1.4820183997769725,0.5179816002230276,0.4820183997769724,0.0,0.95,-0.048132143852801734,2
0.05,3,2555,0.913894324853229,1.4982387475538161,0.501761252446184,0.49823874755381603,0.0,0.95,-0.03610567514677099,3
0.05,4,1829,0.910880262438491,1.4587206123564789,0.541279387643521,0.45872061235647893,0.0,0.95,-0.039119737561508994,4
0.05,5,1346,0.9063893016344725,1.4034175334323922,0.5965824665676077,0.4034175334323923,0.0,0.95,-0.043610698365527445,5
0.05,6,934,0.8725910064239829,1.2558886509635974,0.7441113490364025,0.2558886509635974,0.0,0.95,-0.07740899357601705,6
0.05,7,682,0.8826979472140762,1.2302052785923754,0.7697947214076246,0.23020527859237536,0.0,0.95,-0.06730205278592372,6
0.05,8,478,0.891213389121339,1.198744769874477,0.801255230125523,0.19874476987447698,0.0,0.95,-0.058786610878660994,6
