k,bin,n,mean_pred,observed
7,"(0.7, 0.8]",41,0.7441719619701729,0.7073170731707317
7,"(0.8, 0.9]",61,0.858575992404709,0.8688524590163934
7,"(0.9, 1.0]",204,0.9591584823992005,0.9509803921568627
8,"(-0.001, 0.1]",51,0.058238364396896,0.13725490196078433
8,"(0.1, 0.2]",49,0.1438513097540016,0.2653061224489796
8,"(0.2, 0.3]",27,0.25371381347898037,0.3333333333333333
8,"(0.3, 0.4]",21,0.3417128375963758,0.38095238095238093
8,"(0.4, 0.5]",18,0.455888112445888,0.5555555555555556
8,"(0.5, 0.6]",27,0.5478789181768275,0.5555555555555556
8,"(0.6, 0.7]",22,0.6500092806018863,0.5454545454545454
8,"(0.7, 0.8]",34,0.7428124349240839,0.7647058823529411
8,"(0.8, 0.9]",52,0.8608913927305599,0.8653846153846154
8,"(0.9, 1.0]",178,0.9622767541206037,0.9662921348314607
9,"(-0.001, 0.1]",49,0.059647476765782,0.1836734693877551
9,"(0.1, 0.2]",41,0.14362385166113678,0.2682926829268293
9,"(0.2, 0.3]",24,0.2478010758995114,0.375
9,"(0.3, 0.4]",20,0.3427996786849715,0.35
9,"(0.4, 0.5]",16,0.45136859280143304,0.5
9,"(0.5, 0.6]",12,0.5565638022102142,0.5833333333333334
9,"(0.6, 0.7]",28,0.6510681900883101,0.6428571428571429
9,"(0.7, 0.8]",28,0.7655967710883853,0.7142857142857143
9,"(0.8, 0.9]",38,0.8589096024837412,0.9473684210526315
9,"(0.9, 1.0]",159,0.9662385363391705,0.9433962264150944
10,"(-0.001, 0.1]",39,0.05614110123026643,0.1282051282051282
10,"(0.1, 0.2]",26,0.14432295126611325,0.23076923076923078
10,"(0.2, 0.3]",29,0.24625310016393145,0.3793103448275862
10,"(0.3, 0.4]",15,0.3364926433459316,0.4666666666666667
10,"(0.4, 0.5]",11,0.454165882298847,0.7272727272727273
10,"(0.5, 0.6]",18,0.5580712978396565,0.5
10,"(0.6, 0.7]",16,0.648400353471732,0.5625
10,"(0.7, 0.8]",20,0.7542584246055568,0.6
10,"(0.8, 0.9]",33,0.853591358142985,0.9090909090909091
10,"(0.9, 1.0]",136,0.9656474536791481,0.9411764705882353
11,"(-0.001, 0.1]",32,0.06304339587137611,0.125
11,"(0.1, 0.2]",19,0.1352994710627532,0.2631578947368421
11,"(0.2, 0.3]",15,0.23335690953849442,0.26666666666666666
11,"(0.3, 0.4]",16,0.35250560379066675,0.5
11,"(0.4, 0.5]",11,0.4514926054937424,0.6363636363636364
11,"(0.5, 0.6]",13,0.5694195320600955,0.5384615384615384
11,"(0.6, 0.7]",17,0.6400765642833356,0.5882352941176471
