k,bin,n,mean_pred,observed
7,"(0.1, 0.2]",41,0.16245091351034188,0.5121951219512195
7,"(0.2, 0.3]",64,0.2539469723242317,0.53125
7,"(0.3, 0.4]",93,0.35223561814223653,0.5268817204301075
7,"(0.4, 0.5]",104,0.45721510394202,0.5288461538461539
7,"(0.5, 0.6]",86,0.5519321102396862,0.627906976744186
7,"(0.6, 0.7]",72,0.650664499712064,0.7777777777777778
7,"(0.7, 0.8]",55,0.7474245891418467,0.7818181818181819
7,"(0.8, 0.9]",52,0.8440535436590164,0.8846153846153846
7,"(0.9, 1.0]",18,0.9308470257801924,0.7777777777777778
8,"(-0.001, 0.1]",5,0.07868509389697378,0.4
8,"(0.1, 0.2]",47,0.15824277445344012,0.46808510638297873
8,"(0.2, 0.3]",66,0.2598166228688792,0.45454545454545453
8,"(0.3, 0.4]",48,0.3457808491709324,0.6041666666666666
8,"(0.4, 0.5]",77,0.44936866445218276,0.5584415584415584
8,"(0.5, 0.6]",74,0.5455087838468737,0.7432432432432432
8,"(0.6, 0.7]",53,0.6502724313374284,0.7924528301886793
8,"(0.7, 0.8]",55,0.7553534540856702,0.8
8,"(0.8, 0.9]",37,0.8416838388079723,0.8918918918918919
8,"(0.9, 1.0]",17,0.9428175971715198,1.0
9,"(-0.001, 0.1]",12,0.0627458116844262,0.4166666666666667
9,"(0.1, 0.2]",41,0.15442463411068216,0.36585365853658536
9,"(0.2, 0.3]",50,0.2458184807895784,0.38
9,"(0.3, 0.4]",53,0.3479640457944809,0.6037735849056604
9,"(0.4, 0.5]",41,0.4536426702836602,0.6097560975609756
9,"(0.5, 0.6]",47,0.554902117273426,0.723404255319149
9,"(0.6, 0.7]",60,0.6500465542550472,0.8333333333333334
9,"(0.7, 0.8]",52,0.7507674743942995,0.8076923076923077
9,"(0.8, 0.9]",42,0.8402931018826854,0.9047619047619048
9,"(0.9, 1.0]",17,0.9400714361251672,0.8823529411764706
10,"(-0.001, 0.1]",16,0.06951540884544179,0.25
10,"(0.1, 0.2]",38,0.15184854164670003,0.4473684210526316
10,"(0.2, 0.3]",39,0.2518514029097504,0.3333333333333333
10,"(0.3, 0.4]",42,0.3403145449577633,0.5714285714285714
10,"(0.4, 0.5]",29,0.4554397297770147,0.6206896551724138
10,"(0.5, 0.6]",38,0.5560666810156976,0.7631578947368421
10,"(0.6, 0.7]",45,0.6497344990860866,0.7777777777777778
10,"(0.7, 0.8]",37,0.7450932546049025,0.918918918918919
10,"(0.8, 0.9]",37,0.8479465842337958,0.8108108108108109
10,"(0.9, 1.0]",22,0.9413172219558004,0.9545454545454546
11,"(-0.001, 0.1]",18,0.06457645649963711,0.1111111111111111
11,"(0.1, 0.2]",38,0.15457706733938337,0.5263157894736842
11,"(0.2, 0.3]",32,0.25588520106867374,0.5
11,"(0.3, 0.4]",22,0.35127301920987236,0.6818181818181818
11,"(0.4, 0.5]",27,0.4558006147913819,0.6666666666666666
